,recipes,ingredients,calories
0,Turmeric-Tahini Dressing,"3 tablespoons fresh lemon juice, 2 tablespoons olive oil, ½ teaspoon ground turmeric, ¼ teaspoon cayenne pepper, Kosher salt and freshly ground black pepper",127.0
1,Lemon-Anchovy Vinaigrette,"2 lemons, 4 anchovy fillets packed in oil, drained, finely chopped, ½ cup olive oil, ¼ teaspoon crushed red pepper flakes, Kosher salt and freshly ground black pepper",256.0
2,Green Sauce No.4,"3 tablespoons white miso, 3 tablespoons fresh lemon juice, 2 tablespoons fresh lime juice, 2 tablespoons olive oil, 4 teaspoons tahini, 1 tablespoon apple cider vinegar, 1 tablespoon honey, preferably raw, 2 cups cilantro leaves with tender stems, ⅓ cup sliced chives, 1½ teaspoons grated peeled ginger, 1 teaspoon ground coriander, Kosher salt, freshly ground pepper",140.75
3,Creamy Lemon-Mustard Vinaigrette,"1 small shallot, chopped, ¾ cup olive oil, ¼ cup fresh lemon juice, 2 teaspoons Dijon mustard, 1 teaspoon honey, Kosher salt and freshly ground black pepper",250.5
4,Gribiche (Hard-Boiled Egg) Dressing,"6 cornichons, chopped, ⅓ cup olive oil, 2 tablespoons white wine vinegar, 1 tablespoon chopped drained capers, 1 tablespoon whole grain mustard, Kosher salt, freshly ground pepper, 3 Hard-Boiled Eggs, coarsely chopped, 2 tablespoons chopped herbs (such as tarragon and parsley)",215.75
5,Peanut Dressing,"½ cup smooth peanut butter, 2 tablespoons unseasoned rice vinegar, 1 tablespoon sugar, 1 teaspoon reduced-sodium soy sauce, Kosher salt and freshly ground black pepper",207.25
6,Easy Homemade Caesar Dressing,"3 oil-packed anchovy fillets, chopped, 1 large garlic clove, chopped, ¾ teaspoon (or more) kosher salt, 1 large egg yolk, 2 tablespoons fresh lemon juice, ¾ teaspoon Dijon mustard, ¼ cup plus 2 tablespoons vegetable oil, 3 tablespoons Parmesan, finely grated",251.25
7,Soy-Seasame Dressing,"4 scallions, chopped, ¼ cup toasted sesame oil, ⅓ cup unseasoned rice vinegar, 2 tablespoons soy sauce, 1 tablespoon finely grated peeled ginger, 1 tablespoon fresh lime juice, 1 tablespoon tahini, Kosher salt, freshly ground pepper",157.5
8,Grilled Green Salad with Coffee Vinaigrette,"4 spring onions or 8 scallions, white parts only, spring onions halved lengthwise, quartered if large, 4 tomatillos, husks removed, rinsed, quartered, 1 large or 2 small nopales (cactus paddles), spikes removed, 4 garlic cloves, finely chopped, 4 ounces queso fresco, ⅔ cup olive oil, divided, Kosher salt and freshly ground black pepper, 3 tablespoons Sherry vinegar or red wine vinegar, 1 teaspoon honey, 1 teaspoon instant espresso, Vegetable oil (for grill), 3 cups torn frisée, 1 cup trimmed watercress, ½ English hothouse cucumber, halved lengthwise, seeds removed, thinly sliced, 1 cup fresh cilantro and parsley leaves with tender stems",238.125
9,Buttermilk Ranch Dressing,"¾ cup whole-milk plain Greek yogurt, ⅔ cup buttermilk, 3 tablespoons mayonnaise, 1 tablespoon finely chopped chives, 1 teaspoon fresh lemon juice, 1 garlic clove, finely grated, ¼ teaspoon dried oregano, ¼ teaspoon freshly ground black pepper, ¼ teaspoon mustard powder, ¼ teaspoon onion powder, Kosher salt",142.25
